Visitor Information,Visitor Information
Customer Name,Customer Name
Email,Email
Placed from IP,Placed from IP
Unique Identifier,Unique Identifier
First Visit,First Visit
Previous Visit,Previous Visit
Current Visit,Current Visit
Number of Sessions,Number of Sessions
Sessions Tracking,Sessions Tracking
Number of page views in current session,Number of page views in current session
Timestamp when cookie was set,Timestamp when cookie was set
Session Number,Session Number
Campaign Number,Campaign Number
Campaign Source,Campaign Source
Campaign Name,Campaign Name
Campaign Medium,Campaign Medium
Keyword used to enter in site,Keyword used to enter in site
Custom Value & Additional Cookies,Custom Value & Additional Cookies
